ticker	date	open	high	low	close
ZEN	14/09/2019	4.015	4.09	3.949	3.988
ZEN	15/09/2019	3.988	4.132	3.923	4.1
ZEN	16/09/2019	4.1	4.109	3.947	3.993
ZEN	17/09/2019	3.993	4.168	3.926	4.065
ZEN	18/09/2019	4.065	4.239	4.05	4.188
ZEN	19/09/2019	4.188	4.245	4.074	4.098
ZEN	20/09/2019	4.098	4.15	4.038	4.1
ZEN	21/09/2019	4.1	4.1	3.985	4.038
ZEN	22/09/2019	4.038	4.126	3.994	4.021
ZEN	23/09/2019	4.021	4.238	3.86	4.12
ZEN	24/09/2019	4.12	4.12	3.478	3.918
ZEN	25/09/2019	3.918	3.938	3.604	3.619
ZEN	26/09/2019	3.619	3.619	3.242	3.308
ZEN	27/09/2019	3.308	3.498	3.308	3.477
ZEN	28/09/2019	3.477	3.541	3.433	3.501
ZEN	29/09/2019	3.501	3.501	3.288	3.333
ZEN	30/09/2019	3.333	3.461	3.333	3.378
ZEN	01/10/2019	3.378	3.488	3.348	3.436
ZEN	02/10/2019	3.436	3.523	3.436	3.475
ZEN	03/10/2019	3.475	3.475	3.365	3.402
ZEN	04/10/2019	3.402	3.522	3.369	3.463
ZEN	05/10/2019	3.463	3.584	3.432	3.583
ZEN	06/10/2019	3.583	3.583	3.339	3.384
ZEN	07/10/2019	3.384	3.552	3.384	3.468
ZEN	08/10/2019	3.468	3.477	3.397	3.461
ZEN	09/10/2019	3.461	3.763	3.398	3.489
ZEN	10/10/2019	3.489	3.504	3.385	3.471
ZEN	11/10/2019	3.471	3.471	3.238	3.344
ZEN	12/10/2019	3.344	3.382	3.308	3.342
ZEN	13/10/2019	3.342	3.356	3.288	3.326
ZEN	14/10/2019	3.326	3.525	3.326	3.454
ZEN	15/10/2019	3.454	3.537	3.365	3.443
ZEN	16/10/2019	3.443	3.443	3.22	3.267
ZEN	17/10/2019	3.267	3.399	3.267	3.393
ZEN	18/10/2019	3.393	3.393	3.22	3.285
ZEN	19/10/2019	3.285	3.943	3.282	3.929
ZEN	20/10/2019	3.929	4.51	3.828	3.86
ZEN	21/10/2019	3.86	4.81	3.704	4.044
ZEN	22/10/2019	4.044	4.241	3.94	3.982
ZEN	23/10/2019	3.982	3.982	3.508	3.594
ZEN	24/10/2019	3.594	4.053	3.577	3.768
ZEN	25/10/2019	3.768	4.446	3.768	4.191
ZEN	26/10/2019	4.191	5.378	4.19	4.897
ZEN	27/10/2019	4.897	5.222	4.758	4.796
ZEN	28/10/2019	4.796	4.797	4.548	4.773
ZEN	29/10/2019	4.773	5.192	4.615	5.023
ZEN	30/10/2019	5.023	5.023	4.721	4.737
ZEN	31/10/2019	4.737	4.78	4.583	4.636
ZEN	01/11/2019	4.636	5.349	4.634	4.919
ZEN	02/11/2019	4.919	4.999	4.852	4.866
ZEN	03/11/2019	4.866	4.979	4.797	4.929
ZEN	04/11/2019	4.929	5.041	4.772	4.833
ZEN	05/11/2019	4.833	4.984	4.781	4.885
ZEN	06/11/2019	4.885	4.924	4.781	4.787
ZEN	07/11/2019	4.787	5.335	4.618	5.223
ZEN	08/11/2019	5.223	5.223	4.655	4.798
ZEN	09/11/2019	4.798	4.897	4.692	4.805
ZEN	10/11/2019	4.805	4.927	4.75	4.805
ZEN	11/11/2019	4.805	4.934	4.619	4.916
ZEN	12/11/2019	4.916	5.009	4.825	4.851
ZEN	13/11/2019	4.851	5.248	4.813	5.198
ZEN	14/11/2019	5.198	5.561	4.999	5.359
ZEN	15/11/2019	5.359	6.976	5.245	5.826
ZEN	16/11/2019	5.826	6.395	5.629	5.632
ZEN	17/11/2019	5.632	5.741	5.489	5.51
ZEN	18/11/2019	5.51	5.51	4.985	5.018
ZEN	19/11/2019	5.018	5.663	4.939	5.077
ZEN	20/11/2019	5.077	5.419	5.052	5.131
ZEN	21/11/2019	5.131	5.885	4.838	5.395
ZEN	22/11/2019	5.395	5.395	4.676	5.072
ZEN	23/11/2019	5.072	5.294	5.033	5.064
ZEN	24/11/2019	5.064	5.064	4.662	4.679
ZEN	25/11/2019	4.679	5.016	4.679	4.96
ZEN	26/11/2019	4.96	5.656	4.919	5.654
ZEN	27/11/2019	5.654	5.949	5.644	5.646
ZEN	28/11/2019	5.646	5.673	5.459	5.619
ZEN	29/11/2019	5.619	5.917	5.619	5.653
ZEN	30/11/2019	5.653	5.764	5.409	5.745
ZEN	01/12/2019	5.745	5.745	5.421	5.51
ZEN	02/12/2019	5.51	5.51	5.385	5.469
ZEN	03/12/2019	5.469	5.684	5.248	5.27
ZEN	04/12/2019	5.27	5.27	4.945	4.945
ZEN	05/12/2019	4.945	5.103	4.693	4.891
ZEN	06/12/2019	4.891	5.714	4.891	5.618
ZEN	07/12/2019	5.618	5.641	5.347	5.351
ZEN	08/12/2019	5.351	5.417	5.351	5.398
ZEN	09/12/2019	5.398	6.231	4.577	6.022
ZEN	10/12/2019	6.022	6.432	5.758	6.103
ZEN	11/12/2019	6.103	6.287	5.814	6.225
ZEN	12/12/2019	6.225	6.23	5.91	6.081
ZEN	13/12/2019	6.081	6.139	5.987	5.987
ZEN	14/12/2019	5.987	7.364	5.819	6.458
ZEN	15/12/2019	6.458	6.915	6.346	6.545
ZEN	16/12/2019	6.545	8.132	6.13	7.277
ZEN	17/12/2019	7.277	7.498	6.298	6.662
ZEN	18/12/2019	6.662	7.499	6.662	7.316
ZEN	19/12/2019	7.316	7.567	7.088	7.474
ZEN	20/12/2019	7.474	7.542	6.808	6.894
ZEN	21/12/2019	6.894	7.353	6.474	7.26
ZEN	22/12/2019	7.26	8.502	6.968	7.22
ZEN	23/12/2019	7.22	7.22	6.631	6.736
ZEN	24/12/2019	6.736	6.81	6.648	6.769
ZEN	25/12/2019	6.769	6.769	6.656	6.657
ZEN	26/12/2019	6.657	6.68	6.201	6.21
ZEN	27/12/2019	6.21	6.266	6.051	6.161
ZEN	28/12/2019	6.161	6.569	6.154	6.552
ZEN	29/12/2019	6.552	7.984	6.552	7.614
ZEN	30/12/2019	7.614	8.059	6.96	7.611
ZEN	31/12/2019	7.611	9.203	7.385	9.181
ZEN	01/01/2020	9.181	9.325	8.053	8.355
ZEN	02/01/2020	8.355	8.355	7.655	7.662
ZEN	03/01/2020	7.662	8.323	7.662	8.154
ZEN	04/01/2020	8.154	8.182	7.953	7.968
ZEN	05/01/2020	7.968	7.978	7.382	7.404
ZEN	06/01/2020	7.404	7.833	7.404	7.456
ZEN	07/01/2020	7.456	8.715	7.456	8.159
ZEN	08/01/2020	8.159	8.946	7.794	8.882
ZEN	09/01/2020	8.882	8.998	8.318	8.443
ZEN	10/01/2020	8.443	8.886	8.223	8.485
ZEN	11/01/2020	8.485	9.036	8.153	8.899
ZEN	12/01/2020	8.899	10.02	8.899	9.908
ZEN	13/01/2020	9.908	10.5	9.59	9.947
ZEN	14/01/2020	9.947	11.0	9.947	10.03
ZEN	15/01/2020	10.03	10.84	9.968	10.14
ZEN	16/01/2020	10.14	10.85	10.02	10.39
ZEN	17/01/2020	10.39	10.91	10.38	10.75
ZEN	18/01/2020	10.75	12.06	10.58	11.77
ZEN	19/01/2020	11.77	11.77	10.87	11.04
ZEN	20/01/2020	11.04	11.22	10.68	11.06
ZEN	21/01/2020	11.06	11.19	10.71	10.71
ZEN	22/01/2020	10.71	10.71	10.34	10.42
ZEN	23/01/2020	10.42	10.42	9.586	9.863
ZEN	24/01/2020	9.863	10.28	9.831	10.1
ZEN	25/01/2020	10.1	10.1	9.84	9.89
ZEN	26/01/2020	9.89	10.23	9.89	10.07
ZEN	27/01/2020	10.07	10.67	10.07	10.16
ZEN	28/01/2020	10.16	11.69	10.16	11.06
ZEN	29/01/2020	11.06	11.43	10.88	11.22
ZEN	30/01/2020	11.22	11.65	11.2	11.38
ZEN	31/01/2020	11.38	11.38	10.81	11.1
ZEN	01/02/2020	11.1	11.22	10.95	11.01
ZEN	02/02/2020	11.01	11.01	10.61	10.65
ZEN	03/02/2020	10.65	10.65	10.01	10.1
ZEN	04/02/2020	10.1	10.34	9.3	10.2
ZEN	05/02/2020	10.2	11.29	10.18	10.31
ZEN	06/02/2020	10.31	10.84	10.31	10.82
ZEN	07/02/2020	10.82	11.09	10.68	10.85
ZEN	08/02/2020	10.85	12.23	10.67	11.87
